source_id,source_slug,source_title,target_slug,target_hyperlink,anchor_text,full_crosslink_text,insert_after,confidence,model_notes
3c00b537-a1fd-4efc-aa30-c3c5d4c8938a,gx9ypm4x,Conversation,2t4l1ysv,https://oecs.mit.edu/pub/2t4l1ysv,Cultural Universals,[see Cultural Universals],cross-culturally universal,0.9,The text discusses whether features of conversation are cross-culturally universal.
3c00b537-a1fd-4efc-aa30-c3c5d4c8938a,gx9ypm4x,Conversation,sr3246n4,https://oecs.mit.edu/pub/sr3246n4,Normativity,[see Normativity],normative principles,0.95,The text mentions normative principles of social conduct in conversation.
3c00b537-a1fd-4efc-aa30-c3c5d4c8938a,gx9ypm4x,Conversation,i3s7fym4,https://oecs.mit.edu/pub/i3s7fym4,Common Ground,[see Common Ground],of the common ground,1.0,The text explicitly discusses research into common ground in conversation.
3c00b537-a1fd-4efc-aa30-c3c5d4c8938a,gx9ypm4x,Conversation,l60gyowl,https://oecs.mit.edu/pub/l60gyowl,Sign Language,[see Sign Language],spoken and signed languages,1.0,The text discusses conversation in both spoken and signed languages.
3c00b537-a1fd-4efc-aa30-c3c5d4c8938a,gx9ypm4x,Conversation,h0rivqh3,https://oecs.mit.edu/pub/h0rivqh3,Face Perception,[see Face Perception],facial expressions,0.9,The text lists facial expressions as visual signals used in conversation.
3c00b537-a1fd-4efc-aa30-c3c5d4c8938a,gx9ypm4x,Conversation,za65x7nh,https://oecs.mit.edu/pub/za65x7nh,Eye Movements,[see Eye Movements],eye gaze,0.85,The text mentions eye gaze as a visual signal; eye movements are the underlying mechanism.
3c00b537-a1fd-4efc-aa30-c3c5d4c8938a,gx9ypm4x,Conversation,ivtprtc8,https://oecs.mit.edu/pub/ivtprtc8,Meaning,[see Meaning],pragmatic meaning,0.85,The text states that visual signals contribute critical semantic and pragmatic meaning.
3c00b537-a1fd-4efc-aa30-c3c5d4c8938a,gx9ypm4x,Conversation,ho9e9c80,https://oecs.mit.edu/pub/ho9e9c80,Language,[see Language],Language per se,0.8,The text discusses 'Language per se' in the context of the history of conversation analysis.
6de7f0b9-ac65-4e1d-9238-3d40b4b82b20,qk3nm299,Self-Consciousness,y25banqk,https://oecs.mit.edu/pub/y25banqk,Self,[see Self],what selves are,0.9,"The source article distinguishes the metaphysical question of 'what selves are' from self-consciousness, making the Self article highly relevant."
6de7f0b9-ac65-4e1d-9238-3d40b4b82b20,qk3nm299,Self-Consciousness,xdqgwrkq,https://oecs.mit.edu/pub/xdqgwrkq,Attention,[see Attention],discussions of attention,0.9,The text notes that early cognitive science addressed consciousness through the study of attention.
6de7f0b9-ac65-4e1d-9238-3d40b4b82b20,qk3nm299,Self-Consciousness,2vci5sg1,https://oecs.mit.edu/pub/2vci5sg1,Virtual Reality,[see Virtual Reality],virtual reality technologies,0.95,Virtual reality is explicitly mentioned as a tool for inducing body-swap illusions and manipulating self-identification.
6de7f0b9-ac65-4e1d-9238-3d40b4b82b20,qk3nm299,Self-Consciousness,or750iar,https://oecs.mit.edu/pub/or750iar,Spatial Cognition,[see Spatial Cognition],position in space,0.9,"The text discusses representations of one's position in space (e.g., cognitive maps) as a form of self-specifying information."
6de7f0b9-ac65-4e1d-9238-3d40b4b82b20,qk3nm299,Self-Consciousness,h6pgywr9,https://oecs.mit.edu/pub/h6pgywr9,Interoception,[see Interoception],and homeostatic states,0.95,"The text refers to the embodied capacity to feel homeostatic states, which describes interoception."
6de7f0b9-ac65-4e1d-9238-3d40b4b82b20,qk3nm299,Self-Consciousness,sed0djko,https://oecs.mit.edu/pub/sed0djko,Qualia,[see Qualia],plural = qualia),0.95,The text introduces the term qualia in the context of the feeling of ownership.
6de7f0b9-ac65-4e1d-9238-3d40b4b82b20,qk3nm299,Self-Consciousness,z58iw4gy,https://oecs.mit.edu/pub/z58iw4gy,Delusion,[see Delusion],insertion in schizophrenia,0.85,"The text discusses thought insertion in schizophrenia, which is a specific type of delusion relevant to self-consciousness."
6de7f0b9-ac65-4e1d-9238-3d40b4b82b20,qk3nm299,Self-Consciousness,imt0sy0t,https://oecs.mit.edu/pub/imt0sy0t,Action,[see Action],generating intentional action,0.9,The text argues that self-conscious thought is uniquely characterized by its role in generating intentional action.
6de7f0b9-ac65-4e1d-9238-3d40b4b82b20,qk3nm299,Self-Consciousness,s41l0yu6,https://oecs.mit.edu/pub/s41l0yu6,Memory,[see Memory],particularly autobiographical memory,0.9,Autobiographical memory is highlighted as a key factor in self-consciousness.
6de7f0b9-ac65-4e1d-9238-3d40b4b82b20,qk3nm299,Self-Consciousness,zf1nbs6d,https://oecs.mit.edu/pub/zf1nbs6d,Consciousness and AI,[see Consciousness and AI],and artificial intelligence,0.85,The text mentions the application of self-consciousness concepts within robotics and AI.
efd6ccc3-f6ff-44dc-a0e0-94aefa14fdde,y25banqk,Self,s41l0yu6,https://oecs.mit.edu/pub/s41l0yu6,Memory,[see Memory],self (of memories,0.9,Links 'memories' in the context of the 'extended self' to the Memory article.
efd6ccc3-f6ff-44dc-a0e0-94aefa14fdde,y25banqk,Self,1bjy1ebl,https://oecs.mit.edu/pub/1bjy1ebl,Belief,[see Belief],self (of beliefs,0.9,Links 'beliefs' in the context of the 'conceptual self' to the Belief article.
efd6ccc3-f6ff-44dc-a0e0-94aefa14fdde,y25banqk,Self,k7xz3u08,https://oecs.mit.edu/pub/k7xz3u08,Intuitive Theories,[see Intuitive Theories],beliefs and theories,0.85,The 'conceptual self' is composed of theories about oneself; 'Intuitive Theories' covers such folk psychological structures.
efd6ccc3-f6ff-44dc-a0e0-94aefa14fdde,y25banqk,Self,imt0sy0t,https://oecs.mit.edu/pub/imt0sy0t,Action,[see Action],agency over actions,0.9,Links 'actions' in the context of 'sense of agency' to the Action article.
efd6ccc3-f6ff-44dc-a0e0-94aefa14fdde,y25banqk,Self,x0sk7df7,https://oecs.mit.edu/pub/x0sk7df7,Mental Representation,[see Mental Representation],of mental representation,0.95,Links the explicit mention of 'mental representation' to its article.
efd6ccc3-f6ff-44dc-a0e0-94aefa14fdde,y25banqk,Self,h6pgywr9,https://oecs.mit.edu/pub/h6pgywr9,Interoception,[see Interoception],of “inner” experiences,0.8,The 'private self' and 'inner experiences' (and digestion mentioned prior) relate to Interoception (sensing internal states).
efd6ccc3-f6ff-44dc-a0e0-94aefa14fdde,y25banqk,Self,qlm9zp9e,https://oecs.mit.edu/pub/qlm9zp9e,Social Identity,[see Social Identity],by social relations,0.8,Links the 'social self' defined by relations to Social Identity.
efd6ccc3-f6ff-44dc-a0e0-94aefa14fdde,y25banqk,Self,04xkf1kl,https://oecs.mit.edu/pub/04xkf1kl,Free Will,[see Free Will],responsibility to yourself,0.85,Attributing responsibility is a central topic in the Free Will literature.
efd6ccc3-f6ff-44dc-a0e0-94aefa14fdde,y25banqk,Self,ydxr9tvu,https://oecs.mit.edu/pub/ydxr9tvu,Bodily Sensations,[see Bodily Sensations],or body schema,0.8,Body image and body schema are forms of representation derived from bodily sensations.
efd6ccc3-f6ff-44dc-a0e0-94aefa14fdde,y25banqk,Self,9iq4376o,https://oecs.mit.edu/pub/9iq4376o,Grounded Cognition,[see Grounded Cognition],that your embodiment,0.85,The idea that embodiment is a presupposition of conscious life is central to Grounded Cognition.
